,best,worst,generations
0,-35.2,-348.0,0
1,285.2,-345.0,1
2,50.2,-331.8,2
3,-26.2,-350.0,3
4,89.8,-342.6,4
5,-47.6,-343.6,5
6,42.2,-348.2,6
7,-87.6,-345.0,7
8,25.0,-354.8,8
9,-20.0,-341.4,9
10,31.2,-340.8,10
11,-19.6,-328.0,11
12,8.8,-352.2,12
13,-21.2,-355.0,13
14,74.6,-340.4,14
15,46.8,-351.8,15
16,-32.0,-347.4,16
17,-97.2,-337.6,17
18,17.0,-357.8,18
19,44.2,-352.8,19
20,-28.4,-348.6,20
21,-42.8,-358.8,21
22,-15.2,-351.4,22
23,-34.8,-342.0,23
24,25.0,-352.2,24
25,-33.6,-365.0,25
26,117.0,-346.4,26
27,-46.6,-358.4,27
28,-5.0,-345.0,28
29,34.6,-347.6,29
30,49.0,-329.4,30
31,-15.4,-343.4,31
32,-57.4,-339.6,32
33,-17.4,-348.4,33
34,49.0,-366.6,34
35,3.6,-340.2,35
36,-15.4,-362.6,36
37,69.4,-355.4,37
38,83.4,-332.0,38
39,-57.8,-332.2,39
40,91.6,-341.2,40
41,61.8,-334.8,41
42,51.6,-329.4,42
43,140.4,-361.8,43
44,225.8,-330.6,44
45,6.6,-346.4,45
46,231.0,-355.0,46
47,40.0,-331.4,47
48,59.8,-348.2,48
49,-52.8,-339.4,49
50,39.2,-343.4,50
